sirna_id,gene_symbol,ncbi_gene_id,source
n337250,NEGATIVE_CONTROL,,hardcoded
s1174,JAG1,,thermofisher
s12279,RPS6KA3,,thermofisher
s134,UQCR11,,thermofisher
s13580,STK11,,thermofisher
s14484,TTN,,thermofisher
s14729,CLRN1,,thermofisher
s15652,GAN,,thermofisher
s15788,DYSF,,thermofisher
s17619,FCMR,,thermofisher
s17634,NOLC1,,thermofisher
s17664,TBRG4,,thermofisher
s17705,TSPOAP1,,thermofisher
s17744,ZBTB22,,thermofisher
s17753,,,UNRESOLVED
s17780,CD83,,thermofisher
s17831,GTF3C4,,thermofisher
s17861,SNAP29,,thermofisher
s17957,OTOF,,thermofisher
s17960,COG1,,thermofisher
s17975,TGFBRAP1,,thermofisher
s17999,SELENOF,,thermofisher
s18019,ENTREP1,,thermofisher
s18070,MED23,,thermofisher
s18088,ITM2B,,thermofisher
s18100,LY86,,thermofisher
s18157,THEMIS2,,thermofisher
s18196,PSMF1,,thermofisher
s18250,STXBP5L,,thermofisher
s18268,SCAMP1,,thermofisher
s18310,TP53I11,,thermofisher
s18313,EI24,,thermofisher
s18325,IGDCC3,,thermofisher
s18334,CXCL14,,thermofisher
s18352,MACROH2A1,,thermofisher
s18391,GDF3,,thermofisher
s18427,MAD2L1BP,,thermofisher
s18442,CYTIP,,thermofisher
s18457,VPS9D1,,thermofisher
s18460,CARTPT,,thermofisher
s18478,MTRF1,,thermofisher
s18493,TCL1B,,thermofisher
s18502,SNCAIP,,thermofisher
s18520,TESMIN,,thermofisher
s18527,FEZ2,,thermofisher
s18550,CTR9,,thermofisher
s18562,MTFR1,,thermofisher
s18580,MDC1,,thermofisher
s18582,IQCB1,,thermofisher
s18583,IQCB1,,thermofisher
s18592,LPIN2,,thermofisher
s18595,MARF1,,thermofisher
s18613,WSCD2,,thermofisher
s18622,TTI1,,thermofisher
s18625,PPIP5K1,,thermofisher
s18634,DEPDC5,,thermofisher
s18637,KDM4A,,thermofisher
s18640,N4BP1,,thermofisher
s18652,GREB1,,thermofisher
s18658,BZW1,,thermofisher
s18664,PRORPPSMA6,,thermofisher
s18676,CROCC,,thermofisher
s18679,TRAM2,,thermofisher
s18694,CEP57,,thermofisher
s18697,BLTP2,,thermofisher
s18712,HERPUD1,,thermofisher
s18715,GARRE1,,thermofisher
s18718,RUBCN,,thermofisher
s18721,USP6NL,,thermofisher
s18724,FAM131B,,thermofisher
