group,view,embedding,n_perturbations,n_query_wells,R@1,R@2,R@3,R@4,R@5,R@6,R@7,R@8,R@9,R@10
JUMP — DINO,C,pre_harmony,296,1443,0.04656531531531531,0.07263513513513513,0.08209459459459459,0.08952702702702703,0.0962837837837838,0.10236486486486487,0.1088963963963964,0.1115990990990991,0.11497747747747747,0.12100225225225224
JUMP — DINO,C,post_harmony,296,1443,0.053716216216216216,0.08496621621621621,0.09797297297297297,0.10923423423423421,0.11683558558558557,0.12764639639639638,0.13440315315315315,0.1418355855855856,0.14791666666666667,0.15596846846846849
JUMP — DINO,CD,pre_harmony,296,1443,0.05309684684684685,0.07843468468468469,0.09262387387387387,0.10360360360360361,0.11283783783783785,0.12702702702702703,0.13355855855855855,0.13761261261261262,0.14048423423423423,0.1482545045045045
JUMP — DINO,CD,post_harmony,296,1443,0.05140765765765766,0.07516891891891891,0.09543918918918919,0.10940315315315317,0.12179054054054053,0.13845720720720722,0.14521396396396397,0.15061936936936937,0.1526463963963964,0.15822072072072074
JUMP — DINO,S,pre_harmony,296,1443,0.026126126126126123,0.03823198198198198,0.04431306306306306,0.048367117117117116,0.05647522522522523,0.0625563063063063,0.06661036036036036,0.07246621621621621,0.07516891891891891,0.07719594594594595
JUMP — DINO,S,post_harmony,296,1443,0.029279279279279282,0.0427927927927928,0.056644144144144155,0.06655405405405407,0.07533783783783785,0.08879504504504504,0.09352477477477478,0.09960585585585587,0.10518018018018017,0.10788288288288289
JUMP — DINO,SD,pre_harmony,296,1443,0.032826576576576574,0.043130630630630634,0.052083333333333336,0.057488738738738734,0.06627252252252253,0.07167792792792793,0.08181306306306307,0.09059684684684685,0.09780405405405405,0.10050675675675676
JUMP — DINO,SD,post_harmony,296,1443,0.03355855855855856,0.0545045045045045,0.06863738738738738,0.08417792792792793,0.09363738738738739,0.1052927927927928,0.11289414414414414,0.12145270270270271,0.12978603603603606,0.13046171171171173
JUMP — OpenPhenom,C,pre_harmony,296,1443,0.01936936936936937,0.036880630630630636,0.04560810810810811,0.05101351351351352,0.061148648648648656,0.06993243243243244,0.07939189189189189,0.0847972972972973,0.09493243243243243,0.10050675675675674
JUMP — OpenPhenom,C,post_harmony,296,1443,0.021565315315315317,0.03845720720720721,0.04791666666666666,0.05760135135135135,0.06300675675675675,0.06841216216216216,0.07449324324324323,0.08091216216216215,0.08811936936936937,0.09369369369369368
JUMP — OpenPhenom,CD,pre_harmony,296,1443,0.02072072072072072,0.03755630630630631,0.05191441441441441,0.06576576576576576,0.07623873873873875,0.08164414414414414,0.09222972972972973,0.09695945945945947,0.10281531531531532,0.10619369369369369
JUMP — OpenPhenom,CD,post_harmony,296,1443,0.01801801801801802,0.026970720720720723,0.03913288288288289,0.049887387387387384,0.061148648648648656,0.0652027027027027,0.07865990990990991,0.084740990990991,0.09555180180180181,0.1009572072072072
JUMP — OpenPhenom,S,pre_harmony,296,1443,0.010585585585585585,0.014639639639639641,0.0213963963963964,0.025225225225225224,0.028772522522522527,0.03299549549549549,0.035698198198198194,0.04177927927927928,0.04380630630630631,0.046509009009009006
JUMP — OpenPhenom,S,post_harmony,296,1443,0.009909909909909911,0.01599099099099099,0.021396396396396396,0.02792792792792793,0.032432432432432434,0.035304054054054054,0.03868243243243243,0.041385135135135136,0.04831081081081081,0.05033783783783783
JUMP — OpenPhenom,SD,pre_harmony,296,1443,0.016666666666666666,0.023423423423423427,0.0303490990990991,0.035078828828828824,0.04048423423423424,0.04453828828828829,0.047409909909909904,0.051463963963963966,0.05281531531531532,0.05957207207207207
JUMP — OpenPhenom,SD,post_harmony,296,1443,0.014414414414414415,0.025225225225225224,0.030630630630630637,0.03671171171171171,0.0427927927927928,0.04752252252252252,0.05292792792792793,0.05495495495495496,0.05630630630630631,0.05900900900900902
JUMP — SubCell,C,pre_harmony,296,1443,0.05461711711711712,0.07623873873873874,0.0892454954954955,0.100731981981982,0.10951576576576576,0.11824324324324324,0.12364864864864865,0.13175675675675674,0.13896396396396396,0.14234234234234233
JUMP — SubCell,C,post_harmony,296,1443,0.057207207207207206,0.08688063063063063,0.10748873873873875,0.11965090090090091,0.12708333333333333,0.13699324324324325,0.14442567567567569,0.15,0.1628378378378378,0.1695945945945946
JUMP — SubCell,CD,pre_harmony,296,1443,0.04431306306306306,0.069481981981982,0.07826576576576577,0.0954954954954955,0.10495495495495495,0.11283783783783784,0.11908783783783784,0.12426801801801801,0.13119369369369369,0.13795045045045043
JUMP — SubCell,CD,post_harmony,296,1443,0.06019144144144144,0.08721846846846847,0.10298423423423424,0.12004504504504504,0.13012387387387386,0.13958333333333334,0.15056306306306305,0.15461711711711712,0.16002252252252255,0.16340090090090093
JUMP — SubCell,S,pre_harmony,296,1443,0.03671171171171171,0.05202702702702703,0.06441441441441441,0.08063063063063063,0.08873873873873873,0.09617117117117116,0.10472972972972973,0.1089527027027027,0.11722972972972974,0.12342342342342341
