group,view,embedding,recall_type,n_perturbations,n_query_wells,R@1,R@2,R@3,R@4,R@5,R@6,R@7,R@8,R@9,R@10
JUMP — DINO,C,pre_harmony,across_batch,296,1443,0.04656531531531531,0.07263513513513513,0.08209459459459459,0.08952702702702703,0.0962837837837838,0.10236486486486487,0.1088963963963964,0.1115990990990991,0.11497747747747747,0.12100225225225224
JUMP — DINO,C,pre_harmony,within_batch,296,1443,0.11120495495495497,0.14684684684684685,0.16745495495495494,0.17995495495495495,0.19228603603603606,0.2037725225225225,0.2125563063063063,0.21610360360360362,0.22302927927927926,0.22775900900900897
JUMP — DINO,C,post_harmony,across_batch,296,1443,0.053716216216216216,0.08496621621621621,0.09797297297297297,0.10923423423423421,0.11683558558558557,0.12764639639639638,0.13440315315315315,0.1418355855855856,0.14791666666666667,0.15596846846846849
JUMP — DINO,C,post_harmony,within_batch,296,1443,0.10923423423423421,0.14453828828828827,0.16745495495495494,0.18074324324324326,0.19650900900900903,0.2034346846846847,0.21188063063063065,0.2218468468468468,0.22792792792792793,0.23536036036036032
JUMP — DINO,CD,pre_harmony,across_batch,296,1443,0.05309684684684685,0.07843468468468469,0.09262387387387387,0.10360360360360361,0.11283783783783785,0.12702702702702703,0.13355855855855855,0.13761261261261262,0.14048423423423423,0.1482545045045045
JUMP — DINO,CD,pre_harmony,within_batch,296,1443,0.10855855855855856,0.14234234234234233,0.1677927927927928,0.18417792792792792,0.1973536036036036,0.20388513513513515,0.21751126126126127,0.224268018018018,0.23034909909909912,0.23710585585585586
JUMP — DINO,CD,post_harmony,across_batch,296,1443,0.05140765765765766,0.07516891891891891,0.09543918918918919,0.10940315315315317,0.12179054054054053,0.13845720720720722,0.14521396396396397,0.15061936936936937,0.1526463963963964,0.15822072072072074
JUMP — DINO,CD,post_harmony,within_batch,296,1443,0.1054054054054054,0.1426801801801802,0.16897522522522523,0.18316441441441442,0.19127252252252255,0.20118243243243242,0.21013513513513515,0.22027027027027027,0.22432432432432434,0.22837837837837835
JUMP — DINO,S,pre_harmony,across_batch,296,1443,0.026126126126126123,0.03823198198198198,0.04431306306306306,0.048367117117117116,0.05647522522522523,0.0625563063063063,0.06661036036036036,0.07246621621621621,0.07516891891891891,0.07719594594594595
JUMP — DINO,S,pre_harmony,within_batch,296,1443,0.06998873873873875,0.0991554054054054,0.11959459459459461,0.12950450450450451,0.13795045045045046,0.15208333333333332,0.16086711711711713,0.1723536036036036,0.177759009009009,0.18536036036036035
JUMP — DINO,S,post_harmony,across_batch,296,1443,0.029279279279279282,0.0427927927927928,0.056644144144144155,0.06655405405405407,0.07533783783783785,0.08879504504504504,0.09352477477477478,0.09960585585585587,0.10518018018018017,0.10788288288288289
JUMP — DINO,S,post_harmony,within_batch,296,1443,0.06503378378378379,0.09881756756756759,0.11841216216216215,0.1339527027027027,0.14904279279279278,0.1634009009009009,0.1724099099099099,0.18186936936936937,0.18811936936936935,0.1972972972972973
