group,view,embedding,recall_type,n_perturbations,n_query_wells,R@1,R@2,R@3,R@4,R@5,R@6,R@7,R@8,R@9,R@10
Rxrx1 — DINO,C,pre_harmony,across_batch,1106,1136,0.4920132610006027,0.5638939119951778,0.6027727546714888,0.6235684147076552,0.6475286317058468,0.6628993369499698,0.675557564798071,0.6845991561181434,0.6954490657022302,0.6990657022302592
Rxrx1 — DINO,C,pre_harmony,within_batch,1106,1136,0.010397830018083183,0.015220012055455092,0.016576250753465943,0.01702833031946956,0.017932489451476793,0.01838456901748041,0.018836648583484026,0.019590114526823386,0.019590114526823386,0.019590114526823386
Rxrx1 — DINO,C,post_harmony,across_batch,1106,1136,0.5521398432790837,0.6235684147076552,0.6565702230259192,0.673297166968053,0.6922845087402049,0.6999698613622664,0.7108197709463532,0.7207655213984328,0.7325195901145268,0.7424653405666064
Rxrx1 — DINO,C,post_harmony,within_batch,1106,1136,0.011301989150090416,0.016576250753465943,0.01702833031946956,0.01702833031946956,0.01838456901748041,0.018836648583484026,0.018836648583484026,0.020042194092827002,0.020042194092827002,0.020042194092827002
Rxrx1 — DINO,CD,pre_harmony,across_batch,1106,1136,0.4642857142857143,0.5229053646775165,0.5658529234478601,0.6033755274261603,0.6205545509342977,0.6362266425557564,0.6497890295358649,0.6638034960819771,0.675557564798071,0.6841470765521398
Rxrx1 — DINO,CD,pre_harmony,within_batch,1106,1136,0.009945750452079566,0.01371308016877637,0.015069318866787218,0.01642555756479807,0.016877637130801686,0.016877637130801686,0.016877637130801686,0.016877637130801686,0.016877637130801686,0.017329716696805303
Rxrx1 — DINO,CD,post_harmony,across_batch,1106,1136,0.518836648583484,0.5830319469559975,0.6149789029535865,0.638034960819771,0.6565702230259192,0.6710367691380349,0.6859553948161543,0.6949969861362266,0.7094635322483424,0.715792646172393
Rxrx1 — DINO,CD,post_harmony,within_batch,1106,1136,0.010397830018083183,0.014315852923447859,0.015973477998794453,0.016877637130801686,0.016877637130801686,0.017329716696805303,0.017329716696805303,0.01778179626280892,0.01778179626280892,0.018233875828812536
Rxrx1 — DINO,S,pre_harmony,across_batch,1106,1136,0.10985533453887884,0.15009041591320071,0.17721518987341772,0.2007233273056058,0.21699819168173598,0.22920433996383363,0.24547920433996384,0.2527124773960217,0.265370705244123,0.2757685352622061
Rxrx1 — DINO,S,pre_harmony,within_batch,1106,1136,0.0037673297166968046,0.005123568414707655,0.006027727546714888,0.006931886678722121,0.007836045810729355,0.008288125376732972,0.008288125376732972,0.008740204942736588,0.008740204942736588,0.009192284508740205
Rxrx1 — DINO,S,post_harmony,across_batch,1106,1136,0.13698010849909584,0.18927064496684748,0.22272453285111513,0.24216395418927064,0.262959614225437,0.27471368294153103,0.2828511151295961,0.29761904761904756,0.3116335141651597,0.3215792646172393
Rxrx1 — DINO,S,post_harmony,within_batch,1106,1136,0.002863170584689572,0.004671488848704038,0.005575647980711271,0.006931886678722121,0.0073839662447257376,0.008288125376732972,0.008740204942736588,0.009644364074743821,0.010548523206751054,0.011000602772754671
Rxrx1 — DINO,SD,pre_harmony,across_batch,1106,1136,0.1383363471971067,0.19439421338155516,0.22920433996383363,0.25949367088607594,0.2807414104882459,0.29972875226039786,0.31374321880650996,0.33001808318264014,0.3462929475587703,0.3512658227848101
Rxrx1 — DINO,SD,pre_harmony,within_batch,1106,1136,0.003616636528028933,0.006479807112718504,0.006931886678722121,0.0076853526220614825,0.0081374321880651,0.008589511754068717,0.009041591320072333,0.009041591320072333,0.009945750452079566,0.009945750452079566
Rxrx1 — DINO,SD,post_harmony,across_batch,1106,1136,0.15370705244122965,0.2115732368896926,0.25090415913200725,0.27622061482820975,0.298372513562387,0.3182640144665461,0.33634719710669075,0.3511151295961422,0.36060880048221816,0.367842073538276
Rxrx1 — DINO,SD,post_harmony,within_batch,1106,1136,0.00406871609403255,0.006329113924050633,0.0070825798673899935,0.008438818565400843,0.00889089813140446,0.00889089813140446,0.009342977697408076,0.010096443640747438,0.010096443640747438,0.010397830018083183
Rxrx1 — OpenPhenom,C,pre_harmony,across_batch,1106,1136,0.2224231464737794,0.2825497287522604,0.32625075346594334,0.3637733574442435,0.4022001205545509,0.42480409885473175,0.4422845087402049,0.46443640747438214,0.48116335141651595,0.4911091018685955
Rxrx1 — OpenPhenom,C,pre_harmony,within_batch,1106,1136,0.0027124773960217,0.003616636528028933,0.0045207956600361665,0.004972875226039783,0.0054249547920434,0.0054249547920434,0.0054249547920434,0.00617842073538276,0.00617842073538276,0.00617842073538276
Rxrx1 — OpenPhenom,C,post_harmony,across_batch,1106,1136,0.2854128993369499,0.372664255575648,0.41922845087402044,0.44544906570223025,0.47875226039783003,0.5,0.5194394213381555,0.5348101265822784,0.5515370705244123,0.5682640144665461
Rxrx1 — OpenPhenom,C,post_harmony,within_batch,1106,1136,0.0027124773960217,0.003616636528028933,0.003616636528028933,0.00406871609403255,0.0045207956600361665,0.0045207956600361665,0.005274261603375527,0.005274261603375527,0.005575647980711271,0.006027727546714888
Rxrx1 — OpenPhenom,CD,pre_harmony,across_batch,1106,1136,0.16998191681735986,0.23191681735985534,0.28526220614828207,0.32353827606992164,0.35201928872814947,0.3776371308016877,0.40054249547920434,0.412748643761302,0.42495479204339964,0.43806509945750455
Rxrx1 — OpenPhenom,CD,pre_harmony,within_batch,1106,1136,0.0031645569620253164,0.00406871609403255,0.004972875226039783,0.004972875226039783,0.005274261603375527,0.005726341169379144,0.005726341169379144,0.006931886678722121,0.006931886678722121,0.0073839662447257376
Rxrx1 — OpenPhenom,CD,post_harmony,across_batch,1106,1136,0.2635623869801085,0.34584086799276675,0.3969258589511754,0.44710669077757687,0.4886980108499096,0.5106992163954188,0.5236588306208559,0.5394816154309825,0.5544002411091018,0.5638939119951778
Rxrx1 — OpenPhenom,CD,post_harmony,within_batch,1106,1136,0.0039180229053646775,0.004822182037371911,0.005274261603375527,0.00617842073538276,0.00617842073538276,0.00617842073538276,0.00617842073538276,0.006931886678722121,0.006931886678722121,0.007233273056057866
Rxrx1 — OpenPhenom,S,pre_harmony,across_batch,1106,1136,0.049276672694394216,0.07730560578661845,0.10488245931283906,0.12115732368896925,0.13291139240506328,0.15099457504520797,0.16681735985533455,0.1821880650994575,0.19439421338155516,0.20298372513562388
Rxrx1 — OpenPhenom,S,pre_harmony,within_batch,1106,1136,0.0004520795660036166,0.000753465943339361,0.0012055455093429777,0.0025617842073538274,0.0025617842073538274,0.0025617842073538274,0.003013863773357444,0.0034659433393610605,0.004370102471368294,0.004370102471368294
Rxrx1 — OpenPhenom,S,post_harmony,across_batch,1106,1136,0.07142857142857142,0.11030741410488246,0.14285714285714285,0.16772151898734178,0.1903254972875226,0.21247739602169982,0.22423146473779385,0.22875226039783003,0.2445750452079566,0.2581374321880651
Rxrx1 — OpenPhenom,S,post_harmony,within_batch,1106,1136,0.0,0.0004520795660036166,0.0004520795660036166,0.0004520795660036166,0.0016576250753465942,0.0025617842073538274,0.0025617842073538274,0.0034659433393610605,0.0034659433393610605,0.0039180229053646775
Rxrx1 — OpenPhenom,SD,pre_harmony,across_batch,1106,1136,0.027124773960216998,0.04430379746835443,0.05877034358047016,0.07368896925858952,0.08318264014466546,0.09312839059674503,0.09764918625678119,0.10669077757685352,0.11392405063291139,0.12793851717902352
Rxrx1 — OpenPhenom,SD,pre_harmony,within_batch,1106,1136,0.000753465943339361,0.000753465943339361,0.000753465943339361,0.000753465943339361,0.0019590114526823387,0.002863170584689572,0.002863170584689572,0.0033152501506931885,0.0033152501506931885,0.0037673297166968046
Rxrx1 — OpenPhenom,SD,post_harmony,across_batch,1106,1136,0.042495479204339964,0.06690777576853527,0.07911392405063292,0.0949367088607595,0.10714285714285714,0.12251356238698011,0.13381555153707053,0.1410488245931284,0.15325497287522605,0.16229656419529837
Rxrx1 — OpenPhenom,SD,post_harmony,within_batch,1106,1136,0.0003013863773357444,0.000753465943339361,0.000753465943339361,0.0010548523206751054,0.0010548523206751054,0.001506931886678722,0.0019590114526823387,0.0024110910186859553,0.0033152501506931885,0.0033152501506931885
Rxrx1 — SubCell,C,pre_harmony,across_batch,1106,1136,0.38999397227245325,0.4636829415310427,0.49743821579264613,0.5304400241109102,0.5453586497890295,0.5557564798071127,0.5729355033152501,0.580168776371308,0.5877034358047016,0.5949367088607594
Rxrx1 — SubCell,C,pre_harmony,within_batch,1106,1136,0.0073839662447257376,0.011452682338758288,0.013261000602772754,0.01371308016877637,0.014165159734779987,0.015521398432790835,0.015973477998794453,0.015973477998794453,0.015973477998794453,0.015973477998794453
Rxrx1 — SubCell,C,post_harmony,across_batch,1106,1136,0.4742314647377939,0.5357142857142857,0.5800180831826401,0.6012658227848101,0.6207052441229657,0.6342676311030742,0.6478300180831826,0.6559674502712477,0.6668173598553345,0.6758589511754068
Rxrx1 — SubCell,C,post_harmony,within_batch,1106,1136,0.0073839662447257376,0.011452682338758288,0.013261000602772754,0.014165159734779987,0.014617239300783602,0.015069318866787218,0.015069318866787218,0.015521398432790835,0.015973477998794453,0.01642555756479807
Rxrx1 — SubCell,CD,pre_harmony,across_batch,1106,1136,0.3859252561784207,0.4501205545509343,0.4816154309825196,0.5015069318866787,0.5182338758288125,0.5308921036769138,0.5417420132610006,0.5516877637130801,0.5610307414104883,0.5691681735985533
Rxrx1 — SubCell,CD,pre_harmony,within_batch,1106,1136,0.006931886678722121,0.010548523206751054,0.01235684147076552,0.012808921036769137,0.013261000602772754,0.014165159734779987,0.014165159734779987,0.014617239300783602,0.014617239300783602,0.015521398432790835
Rxrx1 — SubCell,CD,post_harmony,across_batch,1106,1136,0.4665461121157324,0.5262206148282098,0.5556057866184448,0.5804701627486437,0.596745027124774,0.6121157323688969,0.6238698010849909,0.6320072332730561,0.6433092224231465,0.653254972875226
Rxrx1 — SubCell,CD,post_harmony,within_batch,1106,1136,0.0073839662447257376,0.011452682338758288,0.012808921036769137,0.012808921036769137,0.013261000602772754,0.01371308016877637,0.014617239300783602,0.014617239300783602,0.014617239300783602,0.015521398432790835
Rxrx1 — SubCell,S,pre_harmony,across_batch,1106,1136,0.15687160940325498,0.2120253164556962,0.24141048824593128,0.2680831826401447,0.2897830018083183,0.30560578661844484,0.31962025316455694,0.3309222423146474,0.3444846292947559,0.3530741410488246
Rxrx1 — SubCell,S,pre_harmony,within_batch,1106,1136,0.005877034358047016,0.006329113924050633,0.006329113924050633,0.006781193490054249,0.007233273056057866,0.009041591320072333,0.00949367088607595,0.009945750452079566,0.010397830018083183,0.0108499095840868
