group,view,embedding,recall_type,n_perturbations,n_query_wells,R@1,R@2,R@3,R@4,R@5,R@6,R@7,R@8,R@9,R@10
Rxrx3C — DINO,C,pre_harmony,across_batch,727,9978,0.07453234641028587,0.11330270430551914,0.14681472116626548,0.1754358770120184,0.19862592825203626,0.21913378857739804,0.24132737995906017,0.26082833168580455,0.27899413162215997,0.2968589538487882
Rxrx3C — DINO,C,pre_harmony,within_batch,727,9978,0.060800876165044336,0.0984992783271026,0.12989915289131748,0.16069606033006936,0.1844582295455271,0.21142308676689686,0.2321828746954439,0.25299763217574295,0.2732280855326207,0.2907167096869273
Rxrx3C — DINO,C,post_harmony,across_batch,727,9978,0.07492403937569728,0.1133907194501783,0.14720725542179744,0.17583208920508467,0.20030670118183588,0.22310326361703733,0.24512351495430582,0.26226639218313125,0.27948751934153876,0.2963571783839797
Rxrx3C — DINO,C,post_harmony,within_batch,727,9978,0.06141223166665727,0.0985916328363675,0.12915838252697107,0.15893102144286123,0.18245978789036207,0.20729411770115028,0.23090162207615356,0.2505564005641722,0.27117159853712036,0.2865393603508586
Rxrx3C — DINO,CD,pre_harmony,across_batch,727,9978,0.07165609468168306,0.11117034629704411,0.14628229083498676,0.1729207598203796,0.19610222495785978,0.22113470520060857,0.2433898578058081,0.26604339471917604,0.28543576835318196,0.30467466941331506
Rxrx3C — DINO,CD,pre_harmony,within_batch,727,9978,0.059415349974761646,0.09968016353781167,0.1320745449245306,0.1588068004490582,0.1841111287529638,0.20352269631086617,0.22370119017621762,0.24472192301722476,0.26252558036355744,0.28092476971232017
Rxrx3C — DINO,CD,post_harmony,across_batch,727,9978,0.07110211121874797,0.10852167296772147,0.14216574368977888,0.17130390379756533,0.19969362769045285,0.22343218387445027,0.24570985200363415,0.26277705670980134,0.28367762007290365,0.30241137107022537
Rxrx3C — DINO,CD,post_harmony,within_batch,727,9978,0.05757857049863626,0.09940126740377261,0.13252707369797223,0.15797449184161907,0.18468409963010107,0.20469354823592376,0.22577985072281814,0.24411617935285781,0.263731746862704,0.2829389387972104
Rxrx3C — DINO,S,pre_harmony,across_batch,727,9978,0.022527626824296317,0.03878054033567594,0.05507519435096744,0.0673449357307205,0.07758813183672189,0.08752201257590764,0.0958293351980638,0.10417947468333451,0.11370976304545927,0.12265770070455646
Rxrx3C — DINO,S,pre_harmony,within_batch,727,9978,0.018746183050461,0.032493786157873225,0.04530882639951974,0.05520544673903648,0.06650428338076435,0.0754136221393336,0.0852319862554972,0.09419991707918378,0.10303867859323478,0.11178315736877728
Rxrx3C — DINO,S,post_harmony,across_batch,727,9978,0.02466828899463122,0.03906757326736003,0.05364820889919762,0.0647250639193414,0.07764394821218797,0.0875587451689286,0.09558585166791268,0.10573034314316622,0.11524075043421737,0.12323080653025961
Rxrx3C — DINO,S,post_harmony,within_batch,727,9978,0.01905941193476803,0.03288924418012228,0.04481901124123164,0.05606978003648729,0.06687398678790257,0.07558499773267496,0.08572941037864451,0.0937405805138129,0.10207268381982318,0.10920341182439415
Rxrx3C — DINO,SD,pre_harmony,across_batch,727,9978,0.024045769482771755,0.03928111827246661,0.05542991730583505,0.069775089902882,0.08315610010250636,0.09263128527961811,0.10332814362445879,0.11325542848871421,0.12397570678554048,0.13235109769131487
Rxrx3C — DINO,SD,pre_harmony,within_batch,727,9978,0.01891120959370782,0.03901867920299391,0.05046830406345533,0.06250868043548298,0.07376966136574706,0.08522514888216355,0.09520312358905869,0.1043320944087389,0.1126825105163891,0.11980522544348389
Rxrx3C — DINO,SD,post_harmony,across_batch,727,9978,0.023131071729589076,0.03988044931588144,0.05622758088430945,0.07037129060289668,0.08208770268364649,0.09268376202701362,0.1039336613628457,0.11412229214743876,0.12211937478146284,0.1305694223840641
Rxrx3C — DINO,SD,post_harmony,within_batch,727,9978,0.01851386990569124,0.0375505125802912,0.050577048137031115,0.06314739888533898,0.07305695322296821,0.08394899746247861,0.09374799614610327,0.10348816630920181,0.11189572185189237,0.11998485569599736
Rxrx3C — OpenPhenom,C,pre_harmony,across_batch,727,9978,0.018974381141984884,0.03524499052003187,0.049165510244299326,0.061563590466845626,0.07308311099233916,0.08362423705772977,0.09339517287072549,0.10184969791529942,0.11074277302835694,0.11842229240817954
Rxrx3C — OpenPhenom,C,pre_harmony,within_batch,727,9978,0.02131901658692073,0.041023518565778114,0.055457674891734185,0.06708272609325469,0.08039557116948921,0.09383515421129952,0.10396084056719744,0.11491342665374957,0.12279194940220028,0.1323217389849434
Rxrx3C — OpenPhenom,C,post_harmony,across_batch,727,9978,0.01971966531738108,0.034783983123970186,0.04861798694119246,0.0604342061237051,0.07479009886032581,0.08224356155704354,0.09446470132198012,0.10395558945200142,0.11149268869039586,0.12116137182191586
Rxrx3C — OpenPhenom,C,post_harmony,within_batch,727,9978,0.021173646343400996,0.04050772896103305,0.05437994860589834,0.06724884517743299,0.07950321442679217,0.09401565270756657,0.10445470009325039,0.11376060692987347,0.12404425317828441,0.13336731755150094
Rxrx3C — OpenPhenom,CD,pre_harmony,across_batch,727,9978,0.014286673515944674,0.026853763054255943,0.0357249741873005,0.04625184078855484,0.055049769407119094,0.06281354292300825,0.07067611567688747,0.07949941190057022,0.08726690437253255,0.09336755167496551
Rxrx3C — OpenPhenom,CD,pre_harmony,within_batch,727,9978,0.013747881097961967,0.027220568464670025,0.039630806540861145,0.04981067120280467,0.05970806669854804,0.06814686599673887,0.07714181308515632,0.08409947668054714,0.08965033901152948,0.09573591608079406
Rxrx3C — OpenPhenom,CD,post_harmony,across_batch,727,9978,0.015303001350066174,0.025256218703427383,0.03501690988385502,0.045488082066721454,0.053335119700260336,0.06250509961261885,0.06995778844128776,0.07860638662498809,0.0871531377452198,0.09278789703513744
Rxrx3C — OpenPhenom,CD,post_harmony,within_batch,727,9978,0.013915567337807192,0.02663570630905285,0.038853652859830605,0.04849921204625029,0.06011601092309673,0.06751369214787571,0.07712656243711978,0.08456932379041528,0.09089182628389486,0.09750032712445184
Rxrx3C — OpenPhenom,S,pre_harmony,across_batch,727,9978,0.0036879577022502007,0.008369812408979362,0.011866393865873128,0.015829974050073553,0.017949142802520936,0.021046322307348986,0.025079899092210964,0.02809568325128394,0.03181389847618941,0.034914126182574806
Rxrx3C — OpenPhenom,S,pre_harmony,within_batch,727,9978,0.005879763705986108,0.011467497179545306,0.015501500129893762,0.01843262498588225,0.021968647227374634,0.026930727686775912,0.02999078344047355,0.033015882220838615,0.03576596400261954,0.038555906139567456
Rxrx3C — OpenPhenom,S,post_harmony,across_batch,727,9978,0.00410347350609022,0.007830205379937692,0.010663826902358828,0.014659220460800444,0.018262491914819733,0.021418873340081575,0.025513183986261147,0.029427919841193407,0.03157412564672394,0.034995244045453185
Rxrx3C — OpenPhenom,S,post_harmony,within_batch,727,9978,0.006270057784171131,0.0110290260036733,0.015040620001957017,0.018843048246663906,0.022810216400781,0.025356423986863455,0.03017243424538041,0.033091747336450886,0.03613249530544884,0.03775870399456948
Rxrx3C — OpenPhenom,SD,pre_harmony,across_batch,727,9978,0.0044191049312621595,0.007619397477709049,0.012024803568463596,0.015169228235273407,0.018088495187906735,0.021560053719504344,0.025068354392352794,0.02763336275485366,0.030743676753996144,0.03512906592383451
Rxrx3C — OpenPhenom,SD,pre_harmony,within_batch,727,9978,0.005036842467309357,0.008120460999697985,0.012825539438505772,0.015082035979590267,0.018827888197213732,0.0224277964721878,0.025757916989472877,0.028773364664961505,0.031590229507579275,0.034217795965615076
Rxrx3C — OpenPhenom,SD,post_harmony,across_batch,727,9978,0.004442583267165457,0.007565232727961413,0.011552284658397458,0.014401616996273008,0.018369563275719345,0.02241384978978031,0.02542888136430621,0.027698059562591894,0.03073086532520522,0.03346835273609484
Rxrx3C — OpenPhenom,SD,post_harmony,within_batch,727,9978,0.004357389202549669,0.007891973624849391,0.012222039191212144,0.01528440037323686,0.019171837895432097,0.02203976821627414,0.025424643752629632,0.028506095246079586,0.031700132134042464,0.03434762255320865
Rxrx3C — SubCell,C,pre_harmony,across_batch,727,9978,0.08499170383043916,0.12390807238415597,0.1603827438769211,0.1863162998222774,0.21315919785447995,0.23580651399875138,0.25865228789918454,0.27942623757425655,0.2964939337362656,0.31345091962153737
Rxrx3C — SubCell,C,pre_harmony,within_batch,727,9978,0.06440835481161962,0.10432977467957001,0.1389239489046033,0.16931627794731463,0.1916207656547469,0.2140715026017729,0.23568601773506037,0.2548164640166339,0.27466836424020286,0.2915001382274745
Rxrx3C — SubCell,C,post_harmony,across_batch,727,9978,0.08598442200207922,0.12771388039928563,0.16056207992543806,0.19179471251522937,0.2180593721144092,0.23819326442370076,0.25991791556727956,0.27977193074135415,0.2978005518086559,0.3132666443893402
Rxrx3C — SubCell,C,post_harmony,within_batch,727,9978,0.06365176235905132,0.10342456965269096,0.13955425141515856,0.16811363412767796,0.19177243103372302,0.21520821359716796,0.2345552380289731,0.2554844336281319,0.27229268425230824,0.29224781265857486
Rxrx3C — SubCell,CD,pre_harmony,across_batch,727,9978,0.08045298213503986,0.12009485838904249,0.1527816632004581,0.1817855730977367,0.20461757407782455,0.2277759437018819,0.24745051241496832,0.26841962823103876,0.2835818956782391,0.3012870422758186
Rxrx3C — SubCell,CD,pre_harmony,within_batch,727,9978,0.0618541081763064,0.09943257301562944,0.13129763217855545,0.16280020304750165,0.18641805377542406,0.2103521458769087,0.23537219656792244,0.25215338405785653,0.2718935308019449,0.28851399223999097
Rxrx3C — SubCell,CD,post_harmony,across_batch,727,9978,0.07881810637753671,0.11919524527318286,0.15112677401142174,0.18022748665480326,0.20513041333590298,0.23027481796996588,0.24860883803802103,0.26965899568918805,0.2855251774802505,0.29970798311641456
Rxrx3C — SubCell,CD,post_harmony,within_batch,727,9978,0.06146921229943944,0.09799997562735861,0.13131540005874068,0.16218194959024937,0.18511665661270119,0.21326562480700564,0.23550575299996984,0.25533401922281906,0.27142477917741836,0.2882832406394352
Rxrx3C — SubCell,S,pre_harmony,across_batch,727,9978,0.019670679664287656,0.03156999147746,0.04294524346720069,0.05308900534737926,0.06216885118691866,0.07118614769937104,0.0792632440397753,0.08583100796007805,0.09307994066290125,0.10101264009001183
Rxrx3C — SubCell,S,pre_harmony,within_batch,727,9978,0.012595107825491596,0.02052957431468225,0.027431750069055533,0.03657301251535317,0.042615381322254973,0.04925275708692449,0.055657804399766454,0.06230082451413835,0.06753791258466475,0.0731235228753581
Rxrx3C — SubCell,S,post_harmony,across_batch,727,9978,0.019178523275546023,0.030536091732696686,0.04284529036204802,0.05587811431258504,0.0650142312897894,0.07270388215119804,0.0813422062074682,0.08793252027191537,0.0940163647953506,0.10028809849096425
Rxrx3C — SubCell,S,post_harmony,within_batch,727,9978,0.013158128842474014,0.020705641834079278,0.027616598673137194,0.037045684724072096,0.0444056099495588,0.05053423339717371,0.05667762959664963,0.061787703725445745,0.06906552033194638,0.07465614159481268
Rxrx3C — SubCell,SD,pre_harmony,across_batch,727,9978,0.022934261274903608,0.036533492129408936,0.05158918576686316,0.06376720745439826,0.07378971429205623,0.08388365038247528,0.09182130672548833,0.09937535714147526,0.10790022512991522,0.1173521779004112
Rxrx3C — SubCell,SD,pre_harmony,within_batch,727,9978,0.013279201734343821,0.023991064562689356,0.03372351439438194,0.03956472474305842,0.04654105212015536,0.053737038485401775,0.060240872674720565,0.06917679962320707,0.07582939629736647,0.08195750865278482
Rxrx3C — SubCell,SD,post_harmony,across_batch,727,9978,0.022516563542387253,0.037169844558365216,0.05168466648927016,0.06419457673951548,0.07540820640286755,0.08400599104795793,0.09334334868108277,0.10293149820054448,0.1108481101089107,0.11730615940221407
Rxrx3C — SubCell,SD,post_harmony,within_batch,727,9978,0.013112347280819428,0.024160604713671544,0.03332579386001837,0.040452653285635826,0.04832296375080628,0.05479019886742982,0.06225659331189238,0.06910500368996789,0.07649519927621172,0.08343727460125888
