dataset,config,embedding,n_obs,n_perts,n_batches,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
JUMP,DINO C,X_pca,28003,1467,10,0.5317904,0.5462182106508018,0.011039520147194675,0.41490757,0.9912013,0.6493833,1.3245477e-08,0.03097464562098154,0.18747349675659,0.0,0.17356628977617347,0.49903140068054197,0.36884535631879456
JUMP,DINO C,X_pca_harmony,28003,1467,10,0.47541225,0.5546752219042494,0.01774462187970368,0.41852647,0.99207133,0.75935906,0.019319667,0.06686782604392542,0.18929166612534395,0.8005147347838367,0.36707058843642815,0.4916860103607178,0.441839841591002
JUMP,DINO CD,X_pca,28003,1467,10,0.52707636,0.5279528353713365,0.00773265929553882,0.40716177,0.99129,0.5836589,1.3245477e-08,0.018476485388456206,0.1714343823112845,0.0,0.15471394834692448,0.49224271774291994,0.3572312099845218
JUMP,DINO CD,X_pca_harmony,28003,1467,10,0.47683778,0.5310740776738183,0.01171797692035419,0.41476423,0.9920104,0.72520787,0.013022264,0.058819993629797916,0.17726591690681867,0.7886259856931028,0.35258840108890044,0.4852808952331543,0.43220389757545274
JUMP,DINO S,X_pca,28003,1467,10,0.47650272,0.5202768675152674,0.004541162738532278,0.39974982,0.99122816,0.55983686,1.3245477e-08,0.009281851323706116,0.1318681947031132,0.0,0.14019738209965096,0.4784597396850586,0.34315479665089554
JUMP,DINO S,X_pca_harmony,28003,1467,10,0.47706395,0.5245166023569932,0.007182997960112383,0.39398253,0.9917558,0.6750707,0.006692171,0.037981150518074484,0.145231668971473,0.6431776211940974,0.30163066296201585,0.4789003372192383,0.4079924675163493
JUMP,DINO SD,X_pca,28003,1467,10,0.46162558,0.5173923125010512,0.004956687935136897,0.39439678,0.99126333,0.55570644,1.3245477e-08,0.01278711265726827,0.14314339587585953,0.0,0.14232738998711264,0.4739269256591797,0.34128711139035284
JUMP,DINO SD,X_pca_harmony,28003,1467,10,0.44496614,0.5117072577768439,0.0065300434295030565,0.39124477,0.992139,0.7272905,0.036538165,0.04096140920987288,0.15117988483939532,0.8399320167617892,0.3591804011262923,0.4693174362182617,0.4252626221814739
JUMP,OpenPhenom C,X_pca,28003,1467,10,0.38588622,0.5073752023716965,0.002593389321929399,0.3723874,0.9912684,0.41406128,0.0,0.002958554583814279,0.11297906691131146,0.0,0.10599977991998158,0.4519021034240723,0.313541174022436
JUMP,OpenPhenom C,X_pca_harmony,28003,1467,10,0.35152102,0.5108183327350624,0.003361908302924808,0.36456233,0.99178797,0.59832793,0.024371875,0.02136332864947772,0.1211401948719257,0.6288692418660308,0.27881451250818146,0.4444103240966797,0.3781719994612804
JUMP,OpenPhenom CD,X_pca,28003,1467,10,0.398458,0.5041513132074447,0.002571410475248609,0.3735096,0.9912556,0.44079164,0.0,0.002172320161122026,0.11190259534824175,0.0,0.11097331044295247,0.45398917198181155,0.3167828273662679
JUMP,OpenPhenom CD,X_pca_harmony,28003,1467,10,0.3603622,0.5026097773315269,0.0031219806205027567,0.35223466,0.9918831,0.6543104,0.03713849,0.022551984020196123,0.12260743331439565,0.6656441731022106,0.30045049155156334,0.44204235076904297,0.3854056070820511
JUMP,OpenPhenom S,X_pca,28003,1467,10,0.40971127,0.5053551507839891,0.002429111378351356,0.32604045,0.9914618,0.3511906,0.00026835335,0.003383671507614672,0.11038707979105124,0.0,0.09304593764567373,0.44699954986572266,0.30541810497770305
JUMP,OpenPhenom S,X_pca_harmony,28003,1467,10,0.3503704,0.4947659597212442,0.0025321098511776187,0.32067,0.99176735,0.52685255,0.11533364,0.01208898779758885,0.1106052227182259,0.6003399193897189,0.2730440589522981,0.4320211887359619,0.3684303368224964
JUMP,OpenPhenom SD,X_pca,28003,1467,10,0.3965004,0.4990180517404626,0.0024265060135401856,0.32741702,0.9913294,0.39367464,0.0011034409,0.0032823388515901726,0.11431892102480892,0.0,0.10247586654208281,0.4433382511138916,0.3069932972851681
JUMP,OpenPhenom SD,X_pca_harmony,28003,1467,10,0.35491508,0.4814677073107547,0.002555150675718617,0.29697847,0.9917994,0.6369919,0.15500066,0.005687743920423437,0.11479788847924309,0.798516105223658,0.34219885655023863,0.42554316520690916,0.392205441744241
