dataset,config,n_obs,n_perts,n_batches,Δ Isolated labels,Δ KMeans NMI,Δ KMeans ARI,Δ Silhouette label,Δ cLISI,Δ BRAS,Δ iLISI,Δ KBET,Δ Graph connectivity,Δ PCR comparison,Δ Batch correction,Δ Bio conservation,Δ Total
Rxrx1,DINO C,12581,1109,11,0.00837177,0.027756486890950338,0.062435426587927056,0.011216044,0.00047183037,0.06925559,0.083604634,0.11783559577677227,0.04047440136258884,0.973696170018122,0.25697329020182147,0.02205028533935549,0.11601948728434186
Rxrx1,DINO CD,12581,1109,11,0.0076879263,0.026059644512927527,0.05188879546496572,0.012418151,0.0005390644,0.07136828,0.097209096,0.13068124685771743,0.040157435491069204,0.973431001840832,0.2625693995225551,0.019718742370605447,0.11685900523138537
Rxrx1,DINO S,12581,1109,11,0.032304525,0.0106737830118252,0.007639230730822316,0.031984508,0.000731647,0.043798268,0.18425079,0.1143413775766717,0.05045950943155633,0.9586637494405944,0.27030274717883307,0.016666746139526345,0.11812114655524897
Rxrx1,DINO SD,12581,1109,11,0.008260608,-0.0012904940380555896,0.007583946180433017,0.009683639,0.0004454255,0.06450266,0.21662283,0.04362154829429063,0.02183694474046144,0.9526238874904922,0.25984158520539063,0.004936647415161199,0.10689862253125298
Rxrx1,OpenPhenom C,12581,1109,11,-0.0061612725,0.013276377300107,0.021752789399779038,0.0020801723,0.0010011196,0.08753002,0.2876801,0.058816568047337286,0.07674240147188749,0.9434830742849558,0.2908504181144739,0.006389808654785223,0.12017405243866064
Rxrx1,OpenPhenom CD,12581,1109,11,-0.015598178,0.01302450460612059,0.02113262934108034,0.0031942725,0.00094121695,0.086396635,0.2737987,0.050588235294117656,0.07586459728028705,0.9208795525438902,0.28150554476886774,0.004538869857788064,0.11532553982221988
Rxrx1,OpenPhenom S,12581,1109,11,-0.015946686,0.0009303958312724125,0.0033309954983258257,-0.0036656857,0.00041246414,0.08643544,0.20101728,0.003619909502262443,0.021098951644488134,0.6145504456351023,0.18534440090715185,-0.0029877185821533536,0.07234512921356873
Rxrx1,OpenPhenom SD,12581,1109,11,-0.016554058,0.006396585062565574,0.0015227654692258057,-0.0086301565,0.0002925992,0.048844635,0.14304587,0.0,0.009117322913535716,0.4773458548211018,0.13567074309468752,-0.0033944606781005637,0.05223162083101468
Rxrx1,SubCell C,12581,1109,11,-0.00047683716,0.016439243539511095,0.035995235910399215,0.008898854,0.00031614304,0.04383415,0.069096684,0.11872800402212169,0.02185834904500361,0.9599449562580732,0.2426924406446418,0.012234497070312433,0.10441767450004424
Rxrx1,SubCell CD,12581,1109,11,-0.00023573637,0.009930743535898623,0.026021332331171765,0.009567916,0.0001617074,0.04547316,0.05440128,0.13237807943690294,0.017813390897250425,0.9373485276972245,0.2374828988982678,0.009089231491088867,0.10044669845396037
Rxrx1,SubCell S,12581,1109,11,0.015367925,0.005106647655394592,0.007208595638948732,0.015592337,0.000115811825,0.06389171,0.1816268,0.030935424336958867,0.019282090517437706,0.9661553575694377,0.2523782755994213,0.008678245544433527,0.1061582575664286
Rxrx1,SubCell SD,12581,1109,11,0.005609989,0.0029616970127227527,0.009731110374913986,0.011812389,0.00019204617,0.059802294,0.19325377,0.02457101012088224,0.023297674672787427,0.9538470049395125,0.2509543478160212,0.006061458587646507,0.10401861427899639
