dataset,config,embedding,n_obs,n_perts,n_batches,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Rxrx1,DINO C,X_pca,12581,1109,11,0.5598197,0.8274296510368746,0.3581448122894266,0.54473865,0.9971978,0.6420708,0.4914692,0.7218702865761689,0.8358911477261343,0.0,0.5382602698774284,0.6574661731719971,0.6097838118541696
Rxrx1,DINO C,X_pca_harmony,12581,1109,11,0.56819147,0.8551861379278249,0.42058023887735363,0.5559547,0.99766964,0.71132636,0.57507384,0.8397058823529412,0.8763655490887231,0.973696170018122,0.7952335600792498,0.6795164585113526,0.7258032991385115
Rxrx1,DINO CD,X_pca,12581,1109,11,0.5465424,0.8328869384685347,0.37028047850954654,0.5471268,0.9972573,0.64893717,0.47528768,0.7190296631473102,0.8391070306309261,0.0,0.5364723189955154,0.6588187694549561,0.6098801892711798
Rxrx1,DINO CD,X_pca_harmony,12581,1109,11,0.55423033,0.8589465829814622,0.42216927397451226,0.559545,0.99779636,0.72030544,0.5724968,0.8497109100050276,0.8792644661219953,0.973431001840832,0.7990417185180705,0.6785375118255615,0.7267391945025652
Rxrx1,DINO S,X_pca,12581,1109,11,0.41121528,0.6482086343317617,0.042011024335744836,0.42754394,0.990702,0.7438229,0.091277465,0.04945952740070387,0.16431583645289685,0.0,0.2097751433235461,0.5039361476898193,0.38627174594331004
Rxrx1,DINO S,X_pca_harmony,12581,1109,11,0.4435198,0.6588824173435869,0.04965025506656715,0.45952845,0.9914336,0.78762114,0.27552825,0.16380090497737557,0.21477534588445318,0.9586637494405944,0.4800778905023792,0.5206028938293457,0.504392892498559
Rxrx1,DINO SD,X_pca,12581,1109,11,0.42879677,0.6431286690567969,0.01773628522307044,0.43698558,0.9901872,0.6873218,0.123284005,0.0259469941822883,0.18280460147006583,0.0,0.20387147200827843,0.5033668994903564,0.3835687284975252
Rxrx1,DINO SD,X_pca_harmony,12581,1109,11,0.43705738,0.6418381750187413,0.02532023140350346,0.44666922,0.99063265,0.75182444,0.33990684,0.06956854247657893,0.20464154621052727,0.9526238874904922,0.46371305721366907,0.5083035469055176,0.4904673510287782
Rxrx1,OpenPhenom C,X_pca,12581,1109,11,0.4759528,0.6611515758188292,0.024990270123692655,0.45775157,0.9902725,0.64621204,0.13489237,0.037925513400626526,0.24248503975735713,0.0,0.21230299972308844,0.5220237731933594,0.398135463805251
Rxrx1,OpenPhenom C,X_pca_harmony,12581,1109,11,0.46979153,0.6744279531189362,0.04674305952347169,0.45983174,0.99127364,0.73374206,0.42257246,0.09674208144796381,0.3192274412292446,0.9434830742849558,0.5031534178375623,0.5284135818481446,0.5183095162439116
Rxrx1,OpenPhenom CD,X_pca,12581,1109,11,0.4614091,0.6605288107492508,0.02173624299697206,0.45331502,0.99016595,0.6376259,0.14562392,0.034389140271493215,0.22865990837136013,0.0,0.2092597688159425,0.5174310684204102,0.39416254857862315
Rxrx1,OpenPhenom CD,X_pca_harmony,12581,1109,11,0.4458109,0.6735533153553714,0.0428688723380524,0.4565093,0.99110717,0.7240225,0.41942263,0.08497737556561087,0.3045245056516472,0.9208795525438902,0.49076531358481024,0.5219699382781983,0.509488088400843
Rxrx1,OpenPhenom S,X_pca,12581,1109,11,0.34085825,0.5991727322787996,0.004520252013920483,0.36750197,0.9889609,0.49603558,0.18246596,0.0018099547511312218,0.12995987831425165,0.0,0.1620542758896574,0.46020283699035647,0.3409434125500769
Rxrx1,OpenPhenom S,X_pca_harmony,12581,1109,11,0.32491156,0.600103128110072,0.007851247512246308,0.3638363,0.9893734,0.582471,0.38348323,0.005429864253393665,0.1510588299587398,0.6145504456351023,0.34739867679680925,0.4572151184082031,0.4132885417636456
Rxrx1,OpenPhenom SD,X_pca,12581,1109,11,0.29745704,0.5499171750625395,0.0013464515687622435,0.33179057,0.9884355,0.4473017,0.22552073,0.0,0.11439143463489722,0.0,0.1574427700927204,0.4337893486022949,0.3232507171984651
Rxrx1,OpenPhenom SD,X_pca_harmony,12581,1109,11,0.28090298,0.556313760125105,0.002869217037988049,0.3231604,0.9887281,0.49614632,0.3685666,0.0,0.12350875754843293,0.4773458548211018,0.2931135131874079,0.43039488792419434,0.3754823380294798
Rxrx1,SubCell C,X_pca,12581,1109,11,0.5835265,0.848985476964151,0.4198837942968563,0.55158895,0.9974892,0.69922566,0.51401454,0.7029914529914529,0.8722103815431138,0.0,0.5576883962343059,0.6802947998046875,0.6312522383765349
Rxrx1,SubCell C,X_pca_harmony,12581,1109,11,0.58304965,0.8654247205036621,0.4558790302072555,0.5604878,0.99780536,0.7430598,0.5831112,0.8217194570135746,0.8940687305881174,0.9599449562580732,0.8003808368789477,0.692529296875,0.7356699128765791
