dataset,config,embedding,n_obs,n_perts,n_batches,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Rxrx3C,DINO C,X_pca,104166,736,9,0.45770127,0.3733314860302531,0.0038946044407992715,0.43555808,0.99026096,0.9281052,0.5344268,0.23769913274627716,0.08279657322771565,0.0,0.3566055498862048,0.4521492958068848,0.41393179743861275
Rxrx3C,DINO C,X_pca_harmony,104166,736,9,0.45900565,0.37370791735882625,0.003879531390970825,0.43542123,0.99027896,0.93144995,0.5568117,0.2448803112808112,0.08128691763755516,0.9244274410233932,0.5477712739236547,0.45245866775512694,0.49058371022253805
Rxrx3C,DINO CD,X_pca,104166,736,9,0.46049762,0.3729335634367912,0.004003533473636171,0.43363798,0.99003357,0.929082,0.53281254,0.2756477644171185,0.07039586032586881,0.0,0.36158762738390016,0.4522212505340576,0.4159678012739946
Rxrx3C,DINO CD,X_pca_harmony,104166,736,9,0.46082774,0.37356884763466625,0.003906545914076947,0.43342707,0.9900474,0.93236095,0.5559201,0.28470859971078183,0.06993307887547218,0.9113104679517582,0.5508466316238867,0.45235552787780764,0.4917519693762392
Rxrx3C,DINO S,X_pca,104166,736,9,0.4494431,0.28833468936196416,0.0017097075885466224,0.42856243,0.9907698,0.94610494,0.5581543,0.023760990131561053,0.027043759710372327,0.0,0.3110127957096586,0.4317639350891113,0.38346347933733027
Rxrx3C,DINO S,X_pca_harmony,104166,736,9,0.44985706,0.28842346582623357,0.0016683495866447848,0.42831624,0.99078286,0.9471064,0.5677507,0.023928419860539344,0.026283898543317634,0.9287963288062179,0.4987731401933577,0.4318096160888672,0.4585950257306634
Rxrx3C,DINO SD,X_pca,104166,736,9,0.4472518,0.2961487357388978,0.002774994021443649,0.4255735,0.99053836,0.94339883,0.55698395,0.037071671015069904,0.030700860435328402,0.0,0.31363106249582917,0.43245749473571776,0.3849269218397623
Rxrx3C,DINO SD,X_pca_harmony,104166,736,9,0.4501066,0.2961123896156724,0.002713302465273181,0.4252986,0.99052584,0.94435436,0.56653255,0.03718488238197095,0.03080142439996647,0.9075666322331677,0.497287969318524,0.43295135498046877,0.4586860007156909
Rxrx3C,OpenPhenom C,X_pca,104166,736,9,0.4517606,0.2817027011137169,0.0018507459275237843,0.41599056,0.98887426,0.91032225,0.5526749,0.016791942362080717,0.028588061305593625,0.0,0.30167544035450655,0.4280357837677002,0.3774916464024227
Rxrx3C,OpenPhenom C,X_pca_harmony,104166,736,9,0.45157313,0.282059173051357,0.001943540025247906,0.4156784,0.988876,0.91172594,0.5642413,0.018425355706244678,0.028784838771328362,0.8635711419582087,0.47734970104875296,0.42802605628967283,0.44775551419330484
Rxrx3C,OpenPhenom CD,X_pca,104166,736,9,0.45037284,0.2714525424998965,0.001941617735298399,0.41086817,0.9885752,0.90656495,0.5672934,0.010526789829568228,0.025870818826914797,0.0,0.3020511930264626,0.42464208602905273,0.3756057288280167
Rxrx3C,OpenPhenom CD,X_pca_harmony,104166,736,9,0.45073217,0.27166985476245814,0.001949659083006195,0.41078645,0.9885733,0.90749484,0.5766455,0.011952795771966307,0.026058563798963045,0.8567668647658012,0.4757837240909789,0.424742317199707,0.4451588799562157
Rxrx3C,OpenPhenom S,X_pca,104166,736,9,0.41829655,0.24615927427989973,0.0012780962958988513,0.39101848,0.98858225,0.88713926,0.5802537,0.009061786829773624,0.019249434791899285,0.0,0.29914082861388536,0.40906696319580077,0.3650965093630346
Rxrx3C,OpenPhenom S,X_pca_harmony,104166,736,9,0.4183268,0.2459426526014442,0.0012250074758356235,0.39102,0.98856807,0.8879159,0.58607346,0.009174389534592212,0.01936681236570801,0.9004201480308134,0.480590143483232,0.4090165138244629,0.43764596568797054
Rxrx3C,OpenPhenom SD,X_pca,104166,736,9,0.38143602,0.233556330518848,0.001760295575706565,0.36601844,0.9880756,0.8762862,0.5865627,0.009178261170814219,0.018445572618450902,0.0,0.2980945471075845,0.39416935443878176,0.35573943150630283
Rxrx3C,OpenPhenom SD,X_pca_harmony,104166,736,9,0.3817717,0.23401101172378724,0.0017360555911673607,0.3661896,0.9880994,0.876911,0.59127104,0.009244467876280082,0.01832194665662165,0.8379356141278468,0.46673682312106574,0.3943615436553955,0.4233116554416636
Rxrx3C,SubCell C,X_pca,104166,736,9,0.49781784,0.4162246648251769,0.005078386274363706,0.44905782,0.9911349,0.92302454,0.53792346,0.623211873107002,0.12369034681543041,0.0,0.4415700420679826,0.4718626976013184,0.4597456353879841
Rxrx3C,SubCell C,X_pca_harmony,104166,736,9,0.49921092,0.416747057901721,0.005175631409355842,0.44858614,0.99118286,0.92791456,0.5581751,0.6480193861174808,0.12486465162114986,0.9268790250976213,0.6371705538514301,0.47218050956726076,0.5381765272809285
Rxrx3C,SubCell CD,X_pca,104166,736,9,0.4909164,0.40437278871582283,0.004586041012024741,0.44564596,0.9909784,0.9226435,0.53922117,0.5229099389315899,0.1154199930268339,0.0,0.42003892836251,0.4672999382019043,0.4483955342661466
