group,view,embedding,n_perturbations,mean_mAP,sig_frac_p,sig_frac_q
JUMP — DINO,C,pre_harmony,1466,0.2407880748103714,0.2189631650750341,0.20804911323328787
JUMP — DINO,C,post_harmony,1466,0.2760250256538509,0.2653478854024557,0.247612551159618
JUMP — DINO,CD,pre_harmony,1466,0.22724835343356228,0.20122783083219645,0.17803547066848568
JUMP — DINO,CD,post_harmony,1466,0.2631449303027909,0.24556616643929058,0.22237380627557982
JUMP — DINO,S,pre_harmony,1466,0.1916575341928435,0.13369713506139155,0.11937244201909959
JUMP — DINO,S,post_harmony,1466,0.22501567589147975,0.1766712141882674,0.16371077762619374
JUMP — DINO,SD,pre_harmony,1466,0.20452916114075495,0.16030013642564803,0.1480218281036835
JUMP — DINO,SD,post_harmony,1466,0.24303766240527083,0.2073669849931787,0.18758526603001363
JUMP — OpenPhenom,C,pre_harmony,1466,0.16099694793390068,0.06343792633015007,0.048431105047748974
JUMP — OpenPhenom,C,post_harmony,1466,0.20922657821066568,0.14392905866302866,0.13096862210095497
JUMP — OpenPhenom,CD,pre_harmony,1466,0.16641531968501222,0.08321964529331514,0.06275579809004093
JUMP — OpenPhenom,CD,post_harmony,1466,0.2222454466206108,0.16780354706684858,0.14870395634379263
JUMP — OpenPhenom,S,pre_harmony,1466,0.1657247380867455,0.07503410641200546,0.05252387448840382
JUMP — OpenPhenom,S,post_harmony,1466,0.21361532416827383,0.14733969986357434,0.12210095497953616
JUMP — OpenPhenom,SD,pre_harmony,1466,0.18536332159815502,0.11664392905866303,0.09686221009549795
JUMP — OpenPhenom,SD,post_harmony,1466,0.2569126773716945,0.2155525238744884,0.19236016371077763
JUMP — OpenPhenom,zero-shot,pre_harmony,1466,0.15785917760744583,0.0504774897680764,0.03751705320600273
JUMP — OpenPhenom,zero-shot,post_harmony,1466,0.21521593585905213,0.15279672578444747,0.13165075034106413
JUMP — SubCell,C,pre_harmony,1466,0.25547130004111207,0.24283765347885403,0.2291950886766712
JUMP — SubCell,C,post_harmony,1466,0.2850459467144374,0.2742155525238745,0.257162346521146
JUMP — SubCell,CD,pre_harmony,1466,0.24006239607950716,0.22442019099590724,0.21691678035470668
JUMP — SubCell,CD,post_harmony,1466,0.270495886694704,0.25102319236016374,0.2373806275579809
JUMP — SubCell,S,pre_harmony,1466,0.21971923978842844,0.18417462482946795,0.1753069577080491
JUMP — SubCell,S,post_harmony,1466,0.25194648004919135,0.2203274215552524,0.20327421555252387
JUMP — SubCell,SD,pre_harmony,1466,0.22854311059669496,0.20122783083219645,0.18963165075034105
JUMP — SubCell,SD,post_harmony,1466,0.2556957466857486,0.2257844474761255,0.21350613915416097
