group,view,embedding,n_perturbations,mean_mAP,sig_frac_p,sig_frac_q
Rxrx1 — DINO,C,pre_harmony,1108,0.649414734904244,1.0,1.0
Rxrx1 — DINO,C,post_harmony,1108,0.7556320555696109,1.0,1.0
Rxrx1 — DINO,CD,pre_harmony,1108,0.6546261570707973,1.0,1.0
Rxrx1 — DINO,CD,post_harmony,1108,0.7730215001251476,1.0,1.0
Rxrx1 — DINO,S,pre_harmony,1108,0.12388773956177282,0.6164259927797834,0.5117328519855595
Rxrx1 — DINO,S,post_harmony,1108,0.2505152934372052,0.927797833935018,0.9250902527075813
Rxrx1 — DINO,SD,pre_harmony,1108,0.121117412486908,0.5279783393501805,0.4359205776173285
Rxrx1 — DINO,SD,post_harmony,1108,0.2089016347719534,0.8032490974729242,0.7743682310469314
Rxrx1 — OpenPhenom,C,pre_harmony,1108,0.12108354329271126,0.5379061371841155,0.4666064981949459
Rxrx1 — OpenPhenom,C,post_harmony,1108,0.23882926501194815,0.8619133574007221,0.8546931407942239
Rxrx1 — OpenPhenom,CD,pre_harmony,1108,0.11934527211244159,0.5433212996389891,0.4566787003610108
Rxrx1 — OpenPhenom,CD,post_harmony,1108,0.23313849144282378,0.8619133574007221,0.8447653429602888
Rxrx1 — OpenPhenom,S,pre_harmony,1108,0.06957336886468385,0.3249097472924188,0.19133574007220217
Rxrx1 — OpenPhenom,S,post_harmony,1108,0.12230157136120172,0.6209386281588448,0.529783393501805
Rxrx1 — OpenPhenom,SD,pre_harmony,1108,0.05044015286160381,0.2075812274368231,0.0812274368231047
Rxrx1 — OpenPhenom,SD,post_harmony,1108,0.07722078419535874,0.41155234657039713,0.213898916967509
Rxrx1 — OpenPhenom,zero-shot,pre_harmony,1108,0.034925296563484996,0.12003610108303249,0.0388086642599278
Rxrx1 — OpenPhenom,zero-shot,post_harmony,1108,0.08475321316747156,0.44584837545126355,0.30234657039711194
Rxrx1 — SubCell,C,pre_harmony,1108,0.7051213952587504,1.0,1.0
Rxrx1 — SubCell,C,post_harmony,1108,0.7865650365924746,1.0,1.0
Rxrx1 — SubCell,CD,pre_harmony,1108,0.7799000157681588,1.0,1.0
Rxrx1 — SubCell,CD,post_harmony,1108,0.8427858244769155,1.0,1.0
Rxrx1 — SubCell,S,pre_harmony,1108,0.22465934407916507,0.7572202166064982,0.7382671480144405
Rxrx1 — SubCell,S,post_harmony,1108,0.3297173629889361,0.9422382671480144,0.9395306859205776
Rxrx1 — SubCell,SD,pre_harmony,1108,0.19234908831264907,0.7093862815884476,0.6642599277978339
Rxrx1 — SubCell,SD,post_harmony,1108,0.2901691657002754,0.9106498194945848,0.9043321299638989
