group,view,embedding,n_perturbations,mean_mAP,sig_frac_p,sig_frac_q
Rxrx3C — DINO,C,pre_harmony,735,0.5818924961143317,1.0,1.0
Rxrx3C — DINO,C,post_harmony,735,0.6259173635112064,1.0,1.0
Rxrx3C — DINO,CD,pre_harmony,735,0.5688428068630805,1.0,1.0
Rxrx3C — DINO,CD,post_harmony,735,0.6113109464141914,1.0,1.0
Rxrx3C — DINO,S,pre_harmony,735,0.4517473126875541,1.0,1.0
Rxrx3C — DINO,S,post_harmony,735,0.46929568892519385,1.0,1.0
Rxrx3C — DINO,SD,pre_harmony,735,0.46634600084782235,1.0,1.0
Rxrx3C — DINO,SD,post_harmony,735,0.4837379375855615,1.0,1.0
Rxrx3C — OpenPhenom,C,pre_harmony,735,0.30302625044661263,1.0,1.0
Rxrx3C — OpenPhenom,C,post_harmony,735,0.31225380843735073,1.0,1.0
Rxrx3C — OpenPhenom,CD,pre_harmony,735,0.2891077500450012,0.998639455782313,0.998639455782313
Rxrx3C — OpenPhenom,CD,post_harmony,735,0.2961212737812973,1.0,1.0
Rxrx3C — OpenPhenom,S,pre_harmony,735,0.13308388888656855,0.9020408163265307,0.8965986394557823
Rxrx3C — OpenPhenom,S,post_harmony,735,0.13580396711401607,0.9102040816326531,0.9074829931972789
Rxrx3C — OpenPhenom,SD,pre_harmony,735,0.12497594791139748,0.9292517006802721,0.927891156462585
Rxrx3C — OpenPhenom,SD,post_harmony,735,0.12662386061190115,0.9319727891156463,0.9292517006802721
Rxrx3C — OpenPhenom,zero-shot,pre_harmony,735,0.15814571038737177,0.9605442176870749,0.9605442176870749
Rxrx3C — OpenPhenom,zero-shot,post_harmony,735,0.16115994795448216,0.963265306122449,0.963265306122449
Rxrx3C — SubCell,C,pre_harmony,735,0.7045979318368782,1.0,1.0
Rxrx3C — SubCell,C,post_harmony,735,0.7597262555163132,1.0,1.0
Rxrx3C — SubCell,CD,pre_harmony,735,0.673869760576478,1.0,1.0
Rxrx3C — SubCell,CD,post_harmony,735,0.7253879244681524,1.0,1.0
Rxrx3C — SubCell,S,pre_harmony,735,0.7015285965305047,1.0,1.0
Rxrx3C — SubCell,S,post_harmony,735,0.7155226174221005,1.0,1.0
Rxrx3C — SubCell,SD,pre_harmony,735,0.7387397963420278,1.0,1.0
Rxrx3C — SubCell,SD,post_harmony,735,0.7528608978263533,1.0,1.0
