dataset,encoder,n_pert,C,CD,S,SD,delta_bg,delta_CD_C,delta_SD_S
JUMP,DINO,1466,0.2760250256538509,0.2631449303027909,0.2250156758914797,0.2430376624052708,0.0510093497623712,-0.012880095351059995,0.01802198651379111
JUMP,OpenPhenom,1466,0.2092265782106656,0.2222454466206108,0.2136153241682738,0.2569126773716945,-0.004388745957608214,0.013018868409945206,0.04329735320342068
JUMP,SubCell,1466,0.2850459467144374,0.270495886694704,0.2519464800491913,0.2556957466857486,0.0330994666652461,-0.014550060019733413,0.0037492666365573357
JUMP,— mean —,1466,0.25676585019298465,0.25196208787270186,0.23019249336964828,0.25188202882090466,0.026573356823336364,-0.004803762320282734,0.021689535451256375
RxRx1,DINO,1108,0.7556320555696109,0.7730215001251476,0.2505152934372052,0.2089016347719534,0.5051167621324057,0.017389444555536704,-0.041613658665251796
RxRx1,OpenPhenom,1108,0.2388292650119481,0.2331384914428237,0.1223015713612017,0.0772207841953587,0.11652769365074639,-0.005690773569124397,-0.045080787165843
RxRx1,SubCell,1108,0.7865650365924746,0.8427858244769155,0.3297173629889361,0.2901691657002754,0.45684767360353845,0.05622078788444096,-0.039548197288660714
RxRx1,— mean —,1108,0.5936754523913444,0.6163152720149623,0.23417807592911433,0.19209719488919583,0.35949737646223023,0.022639819623617757,-0.04208088103991851
Rxrx3C,DINO,735,0.6259173635112064,0.6113109464141914,0.4692956889251938,0.4837379375855615,0.15662167458601262,-0.014606417097015045,0.014442248660367696
Rxrx3C,OpenPhenom,735,0.3122538084373507,0.2961212737812973,0.135803967114016,0.1266238606119011,0.1764498413233347,-0.016132534656053354,-0.009180106502114899
Rxrx3C,SubCell,735,0.7597262555163132,0.7253879244681524,0.7155226174221005,0.7528608978263533,0.04420363809421268,-0.034338331048160864,0.0373382804042528
Rxrx3C,— mean —,735,0.5659658091549568,0.544273381554547,0.4402074244871034,0.45440756534127197,0.12575838466785333,-0.021692427600409753,0.014200140854168533
