group,view,embedding,recall_type,n_perturbations,n_query_wells,R@1,R@2,R@3,R@4,R@5,R@6,R@7,R@8,R@9,R@10
Rxrx1 — cp_measure,S,pre_harmony,across_batch,1106,1136,0.06645569620253164,0.1057866184448463,0.1274864376130199,0.14511754068716093,0.1595840867992767,0.17857142857142858,0.18851717902350815,0.2007233273056058,0.21428571428571427,0.22106690777576854
Rxrx1 — cp_measure,S,pre_harmony,within_batch,1106,1136,0.0,0.0,0.0,0.0004520795660036166,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002109704641350211,0.002863170584689572,0.002863170584689572
Rxrx1 — cp_measure,S,post_harmony,across_batch,1106,1136,0.07775768535262206,0.11528028933092224,0.14873417721518986,0.16952983725135623,0.18896925858951175,0.20433996383363473,0.2147377938517179,0.22784810126582278,0.23824593128390598,0.24954792043399637
Rxrx1 — cp_measure,S,post_harmony,within_batch,1106,1136,0.0004520795660036166,0.0009041591320072332,0.0009041591320072332,0.0009041591320072332,0.002109704641350211,0.0025617842073538274,0.003013863773357444,0.0033152501506931885,0.0033152501506931885,0.0033152501506931885
Rxrx3C — cp_measure,S,pre_harmony,across_batch,727,9978,0.005342088231468089,0.008501872227245865,0.01252372379776844,0.01592929963214344,0.019553864191398193,0.023051093511969045,0.025607878221211473,0.029120588030429367,0.031001010759529605,0.03363708841869988
Rxrx3C — cp_measure,S,pre_harmony,within_batch,727,9978,0.004738710408882505,0.007836320396017869,0.010642658370565874,0.012813087524741416,0.015268934919579336,0.017552396091827432,0.020243678025236318,0.022588025761583835,0.02476831366649971,0.026177147435556138
Rxrx3C — cp_measure,S,post_harmony,across_batch,727,9978,0.005039563658924296,0.008041265537074233,0.012850448135267877,0.015352426432821455,0.018865176674825453,0.022213930679495012,0.025037406501483936,0.02761682420188352,0.03108736285578775,0.03327475639814626
Rxrx3C — cp_measure,S,post_harmony,within_batch,727,9978,0.004500190283678776,0.0072349239637417495,0.010238294985098718,0.012534188343984455,0.015616487282949272,0.018092223472748636,0.02079673696234765,0.023158624688987512,0.025110799465217628,0.02682301827683585
JUMP — cp_measure,S,pre_harmony,across_batch,296,1443,0.009234234234234234,0.013963963963963965,0.017342342342342342,0.022072072072072072,0.02477477477477478,0.02950450450450451,0.03423423423423424,0.03828828828828829,0.04099099099099099,0.04301801801801802
JUMP — cp_measure,S,pre_harmony,within_batch,296,1443,0.03671171171171171,0.05495495495495495,0.06711711711711713,0.07927927927927929,0.08620495495495495,0.09363738738738739,0.10377252252252252,0.114527027027027,0.12331081081081081,0.12871621621621623
JUMP — cp_measure,S,post_harmony,across_batch,296,1443,0.012837837837837839,0.018243243243243244,0.023423423423423424,0.03063063063063063,0.03400900900900901,0.04121621621621621,0.0445945945945946,0.050844594594594596,0.058445945945945946,0.06317567567567568
JUMP — cp_measure,S,post_harmony,within_batch,296,1443,0.03018018018018018,0.04301801801801802,0.05518018018018018,0.06531531531531533,0.07364864864864865,0.08175675675675675,0.08918918918918918,0.09729729729729729,0.1018018018018018,0.1053490990990991
