ID,Dataset,ImgEncoder,PerturbEncoder,View,Trained,Inference+Agg,h5ad_link
01_JUMP_DINO_ECFP4_C,JUMP,DINO-ViT v3,ECFP4 -> MLP,CROPS,,,
02_JUMP_DINO_ECFP4_CD,JUMP,DINO-ViT v3,ECFP4 -> MLP,CROPS_DENSITY,,,
03_JUMP_DINO_ECFP4_S,JUMP,DINO-ViT v3,ECFP4 -> MLP,SEG,,,
04_JUMP_DINO_ECFP4_SD,JUMP,DINO-ViT v3,ECFP4 -> MLP,SEG_DENSITY,,,
05_JUMP_OpenPhenom_ECFP4_C,JUMP,OpenPhenom,ECFP4 -> MLP,CROPS,,,
06_JUMP_OpenPhenom_ECFP4_CD,JUMP,OpenPhenom,ECFP4 -> MLP,CROPS_DENSITY,,,
07_JUMP_OpenPhenom_ECFP4_S,JUMP,OpenPhenom,ECFP4 -> MLP,SEG,,,
08_JUMP_OpenPhenom_ECFP4_SD,JUMP,OpenPhenom,ECFP4 -> MLP,SEG_DENSITY,,,
09_JUMP_SubCell_ECFP4_C,JUMP,SubCell,ECFP4 -> MLP,CROPS,,,
10_JUMP_SubCell_ECFP4_CD,JUMP,SubCell,ECFP4 -> MLP,CROPS_DENSITY,,,
11_JUMP_SubCell_ECFP4_S,JUMP,SubCell,ECFP4 -> MLP,SEG,,,
12_JUMP_SubCell_ECFP4_SD,JUMP,SubCell,ECFP4 -> MLP,SEG_DENSITY,,,
13_Rxrx1_DINO_ESM2_C,Rxrx1,DINO-ViT v3,ESM2 -> MLP,CROPS,${DATA_ROOT}/results/pretrain/13_Rxrx1_DINO_ESM2_C_202604201801/checkpoints/last.ckpt,,
14_Rxrx1_DINO_ESM2_CD,Rxrx1,DINO-ViT v3,ESM2 -> MLP,CROPS_DENSITY,${DATA_ROOT}/results/pretrain/14_Rxrx1_DINO_ESM2_CD_202604201744/checkpoints/last.ckpt,${DATA_ROOT}/results/embeddings/14_Rxrx1_DINO_ESM2_CD_aggregated.h5ad,
15_Rxrx1_DINO_ESM2_S,Rxrx1,DINO-ViT v3,ESM2 -> MLP,SEG,,,
16_Rxrx1_DINO_ESM2_SD,Rxrx1,DINO-ViT v3,ESM2 -> MLP,SEG_DENSITY,${DATA_ROOT}/results/pretrain/16_Rxrx1_DINO_ESM2_SD_202604201744/checkpoints/last.ckpt,,
17_Rxrx1_OpenPhenom_ESM2_C,Rxrx1,OpenPhenom,ESM2 -> MLP,CROPS,,,
18_Rxrx1_OpenPhenom_ESM2_CD,Rxrx1,OpenPhenom,ESM2 -> MLP,CROPS_DENSITY,,,
19_Rxrx1_OpenPhenom_ESM2_S,Rxrx1,OpenPhenom,ESM2 -> MLP,SEG,,,
20_Rxrx1_OpenPhenom_ESM2_SD,Rxrx1,OpenPhenom,ESM2 -> MLP,SEG_DENSITY,,,
21_Rxrx1_SubCell_ESM2_C,Rxrx1,SubCell,ESM2 -> MLP,CROPS,,,
22_Rxrx1_SubCell_ESM2_CD,Rxrx1,SubCell,ESM2 -> MLP,CROPS_DENSITY,,,
23_Rxrx1_SubCell_ESM2_S,Rxrx1,SubCell,ESM2 -> MLP,SEG,,,
24_Rxrx1_SubCell_ESM2_SD,Rxrx1,SubCell,ESM2 -> MLP,SEG_DENSITY,,,
25_Rxrx3C_DINO_ESM2_C,Rxrx3C,DINO-ViT v3,ESM2 -> MLP,CROPS,,,
26_Rxrx3C_DINO_ESM2_CD,Rxrx3C,DINO-ViT v3,ESM2 -> MLP,CROPS_DENSITY,,,
27_Rxrx3C_DINO_ESM2_S,Rxrx3C,DINO-ViT v3,ESM2 -> MLP,SEG,,,
28_Rxrx3C_DINO_ESM2_SD,Rxrx3C,DINO-ViT v3,ESM2 -> MLP,SEG_DENSITY,,,
29_Rxrx3C_OpenPhenom_ESM2_C,Rxrx3C,OpenPhenom,ESM2 -> MLP,CROPS,,,
30_Rxrx3C_OpenPhenom_ESM2_CD,Rxrx3C,OpenPhenom,ESM2 -> MLP,CROPS_DENSITY,,,
31_Rxrx3C_OpenPhenom_ESM2_S,Rxrx3C,OpenPhenom,ESM2 -> MLP,SEG,,,
32_Rxrx3C_OpenPhenom_ESM2_SD,Rxrx3C,OpenPhenom,ESM2 -> MLP,SEG_DENSITY,,,
33_Rxrx3C_SubCell_ESM2_C,Rxrx3C,SubCell,ESM2 -> MLP,CROPS,,,
34_Rxrx3C_SubCell_ESM2_CD,Rxrx3C,SubCell,ESM2 -> MLP,CROPS_DENSITY,,,
35_Rxrx3C_SubCell_ESM2_S,Rxrx3C,SubCell,ESM2 -> MLP,SEG,,,
36_Rxrx3C_SubCell_ESM2_SD,Rxrx3C,SubCell,ESM2 -> MLP,SEG_DENSITY,,,
